university_id,university_name,country_name,openalex_id,openalex_display_name,openalex_country_code,openalex_country,openalex_ror,openalex_works_count,openalex_works_2023,openalex_works_2024,openalex_works_2025
U0286,universidad carlos iii de madrid (uc3m),Spain,,,,,,,,,
U0287,university of cologne,Germany,,,,,,,,,
U0288,university of leicester,United Kingdom,,,,,,,,,
U0289,university of milan,Italy,,,,,,,,,
U0290,university of surrey,United Kingdom,,,,,,,,,
U0291,swinburne university of technology,Australia,,,,,,,,,
U0292,university of bergen,Norway,,,,,,,,,
U0293,the university of arizona,United States,,,,,,,,,
U0294,university of tasmania,Australia,,,,,,,,,
U0295,xian jiaotong university,China (Mainland),,,,,,,,,
U0296,stellenbosch university,South Africa,,,,,,,,,
U0297,university of virginia,United States,,,,,,,,,
U0298,bauman moscow state technical university,Russia,,,,,,,,,
U0299,swansea university,United Kingdom,,,,,,,,,
U0300,huazhong university of science and technology,China (Mainland),,,,,,,,,
U0301,georgetown university,United States,,,,,,,,,
U0302,beijing institute of technology,China (Mainland),,,,,,,,,
U0303,université paris cité,France,,,,,,,,,
U0304,linköping university,Sweden,,,,,,,,,
U0305,universidade federal do rio de janeiro,Brazil,,,,,,,,,
U0306,aalborg university,Denmark,,,,,,,,,
U0307,"university of california, irvine",United States,,,,,,,,,
U0308,airlangga university,Indonesia,,,,,,,,,
U0309,goethe-university frankfurt am main,Germany,,,,,,,,,
U0310,universität innsbruck,Austria,,,,,,,,,
U0311,north carolina state university,United States,,,,,,,,,
U0312,jagiellonian university,Poland,,,,,,,,,
U0313,university of johannesburg,South Africa,,,,,,,,,
U0314,universität stuttgart,Germany,,,,,,,,,
U0315,quaid-i-azam university,Pakistan,,,,,,,,,
U0316,rudn university,Russia,,,,,,,,,
U0317,shandong university,China (Mainland),,,,,,,,,
U0318,university of notre dame,United States,,,,,,,,,
U0319,simon fraser university,Canada,,,,,,,,,
U0320,university of colorado boulder,United States,,,,,,,,,
U0321,l.n. gumilyov eurasian national university (enu),Kazakhstan,,,,,,,,,
U0322,national technical university of athens,Greece,,,,,,,,,
U0323,universidad politécnica de madrid (upm),Spain,,,,,,,,,
U0324,university of miami,United States,,,,,,,,,
U0325,university of southern denmark (sdu),Denmark,,,,,,,,,
U0326,daegu gyeongbuk institute of science and technology (dgist),South Korea,,,,,,,,,
U0327,istanbul technical university,Turkey,,,,,,,,,
U0328,kyung hee university,South Korea,,,,,,,,,
U0329,rutgers universitynew brunswick,United States,,,,,,,,,
U0330,university of delhi,India,,,,,,,,,
U0331,sun yat-sen university,China (Mainland),,,,,,,,,
U0332,abu dhabi university,United Arab Emirates,,,,,,,,,
U0333,university of east anglia (uea),United Kingdom,,,,,,,,,
U0334,université grenoble alpes,France,,,,,,,,,
U0335,indian institute of technology roorkee (iitr),India,,,,,,,,,
U0336,flinders university,Australia,,,,,,,,,
U0337,lappeenranta-lahti university of technology lut,Finland,,,,,,,,,
U0338,sichuan university,China (Mainland),,,,,,,,,
U0339,university of the philippines,Philippines,,,,,,,,,
U0340,university of saskatchewan,Canada,,,,,,,,,
U0341,university of south australia,Australia,,,,,,,,,
U0342,brunel university london,United Kingdom,,,,,,,,,
U0343,sharif university of technology,"Iran, Islamic Republic of",,,,,,,,,
U0344,indian institute of technology guwahati (iitg),India,,,,,,,,,
U0345,tufts university,United States,,,,,,,,,
U0346,university of oulu,Finland,,,,,,,,,
U0347,tilburg university,Netherlands,,,,,,,,,
U0348,university of naples - federico ii,Italy,,,,,,,,,
U0349,university of victoria (uvic),Canada,,,,,,,,,
U0350,cairo university,Egypt,,,,,,,,,
U0351,sciences po,France,,,,,,,,,
U0352,"city, university of london",United Kingdom,,,,,,,,,
U0353,national university of sciences and technology (nust) islamabad,Pakistan,,,,,,,,,
